mip_lower,n
nothing at all,1
nothing changes,1
nothing comes to mind,1
nothing ever changes,1
nothing it makes no difference to me,1
nothing i’m not voting,1
nothing particular,1
nothing really except for i’m concerned about the environment,1
nothing short of the future of canada,1
nothing.,1
nothinh,1
notre avenir,1
notre avenir et l’endettement,1
notre droit de liberté,1
"notre service de santé, crée de l’emploi et arrêter le système d’aide financière au personne sans emploi liée à la covid.",1
nous  sortir de cette pandemie,1
no ne,1
npd,1
npd will not win,1
nth,1
nuclear weapons ban,1
nul,1
nullité,1
nursing bill 124,1
o'toole and his constant griping,1
o'toole losing,1
"obliger les politiciens à respecter les citoyens dans leurs attentes (langues, pollution, international, etc.)",1
obligé de voter pour le moins pire au lieu de voter pour un parti sensé,1
obtaining a honest and ethical federal party that delivers on their promises.,1
obtenir des gains pour le quebec,1
obtenir la majorité,1
obtenir la majorité au parlement pour les libéraux,1
obtenir la majorité des votes et ensuite le bien-être des citoyens,1
obtenir la majorité parlamentaire,1
obtenir un gouvernement honnête avec un premier ministre qui désire le mieux pour lescanadiens et canadiennes. un 1er ministre responsable et capable de s'exprimer dans les 2 langues. un 1er ministre qui connait les finances et qui esrpt capable d'en discuter.,1
obtenir un gouvernement minoritaire,1
obtenir une majorité ou non,1
odsp,1
oil,1
oil & gas,1
oil and coal,1
oil and gas sector and jobs with this industry,1
oil field,1
oil pipelines,1
oil production,1
old age  security,1
old age disabled benefits,1
old age income,1
"old age issue, income and health service",1
old age pension income,1
old age pensions,1
old age secuity pensions,1
old age security,1
old age support,1
old people,1
older people situation,1
on avait pas besoin d élection pendant la pandémie,1
on fini toujourspar payer plus cher les besoins essentiels,1
on ne le sait pas,1
one that is not brought up nut it has to do with the small amount of money is paid to the old age,1
onesty make politician accountable,1
ongoing covid issues,1
ongoing handling of covid,1
ongoing help for small business,1
ongoing management of covid-19,1
only promises,1
ont and quebec have more electoral seats so it is impossible for the west vote to count. we could all vote for the same party and ont and quebec will turn the vote.,1
ontario and quebec let turdo squander our country,1
oo,1
opening everything up and easing restrictions,1
opening the country back up from covid,1
opening the land borders with the usa,1
opening up economy,1
opiod crisis,1
opposing vacine mandates,1
opposition leaders offering no solutions and only complaining about liberals,1
organize,1
organized crime and corruption,1
osap funding and health care,1
ost of living,1
other,1
oudated electoral system,1
oui,1
our aboriginal community,1
our constitutional rights and freedom according to the canadian charter of rights that have been established in our country,1
our constitutional rights being violated,1
our countries debt,1
our country becoming communist,1
"our country recovering from covid in a responsible, safe and non-combative manner",1
our country's debt!!!,1
our countrys debt,1
our country’s financial future,1
our debt,1
our debt as a country and spending that is out of control.,1
our dept..,1
our econmey more over are debt.,1
our economy and debt load,1
our economy and environment,1
"our economy, & debt, & free spending that's been going on for 6 years",1
our environment,1
our freedom and rights,1
our freedom from tyranny,1
our freedom to choose what is right for us as individuals,1
our freedoms and human rights.,1
our freedoms and rights,1
our freedoms being taken away,1
our freedoms being violated,1
our health care system,1
our health system,1
"our lack of proportional representation for the vote, followed by lame climate change response.",1
our precious freedoms are seriously threatened to all be taken away from us,1
our prime minister has gotten away with many ethical compromises.  even in calling the election at this time he is thinking of his own purpose and not what is best for canadians.  he constantly gives away billions,1
our rights being taken away,1
ousting the current prime minister,1
ousting the government that called this unneccessary election,1
out of control covid spending,1
out of control debt and deficit,1
out of control government spending,1
out of control government spending.,1
out of control nation federal spending with no accountability,1
out of control spending by the federal government,1
out of control spending by the liberals who are corrupt,1
out of control spending with no accountability,1
out-of-control government spending,1
over doses caused by drug addiction,1
over population,1
over spending in general,1
over spending of our govt.  especially stupid places,1
over-spending by liberals,1
"overall, getting rid of trudeau as he is destroying this country!",1
overdose crisis,1
overexaggerating the covid,1
overextension of covid travel restrictions and vaccine mandates,1
overpopulation,1
pa ndemic,1
pandaemic control,1
pandamic fourth wave covid 19,1
pandemic & economy,1
pandemic (covid),1
pandemic / vaccination rates / travel restrictions re: non-recognized astra zeneca vaccine.,1
pandemic and economy,1
pandemic and housing,1
pandemic and money,1
pandemic and taxes,1
pandemic and the economy,1
pandemic and vaccines,1
pandemic care,1
pandemic crisis management,1
pandemic eradication,1
pandemic et economie,1
pandemic financial support,1
pandemic handling & health care,1
"pandemic handling, indigenous people, french domination in quebec",1
pandemic is the first concern,1
pandemic issue,1
pandemic issues,1
pandemic leadership - federal involvement,1
pandemic management and recovery,1
pandemic recovery - both economic and health,1
pandemic resolution and recovery,1
pandemic response and inflation,1
pandemic safety,1
pandemic solution,1
pandemic support and plan,1
pandemic with help for the economy opening up,1
"pandemic, rising cost of basic needs, debt",1
pandemic.,1
pandemic/covid,1
pandemic/economic recovery,1
pandemic/economy,1
pandemic/public health,1
pandemic/seniors,1
pandemie- reprise economique -travail,1
"pandémie , les services hospitaliers et le budget",1
pandémie /santé,1
pandémie et environnement,1
pandémie et finance,1
pandémie et gestion des recalcitrants,1
pandémie et le soutien aux familles,1
"pandémie, armes à feu,",1
"pandémie, emploi économie, environnement.",1
"pandémie, la gestion.",1
"pandémie, vaccination et pas vaccin",1
pandémie/ post pandémie économie,1
pandémies,1
parler français,1
parliamentary accountability and transparency,1
partage de la richesse,1
partage des pouvoirs fédéral-provinces,1
partage des richesses,1
participation au vote,1
parties living up to there promises,1
partisan issues / proper representation,1
partisan politics has fragmented the voter base.,1
party driven gridlock to implementing solutions,1
party i want to vote for must support israel.,1
party that will get things done,1
pas avoir d'élection aurais été préferable,1
pas besoin d’élections,1
pas d’enjeu toujours les mêmes promesses vides,1
pas important,1
pas necessaire pour l'instant,1
pas voter conservateur,1
pas vraiment je suis pas ca,1
passeport sanitaire,1
"passeport sanitaire (je suis contre), vax obligatoire (contre)",1
"passeport vaccinale, gestion de la pcu",1
